transaction_id,user_id,timestamp,amount,currency,merchant_category,device_id,ip_address,shipping_address,city,is_fraud,fraud_type,is_stealth
tx_1057,usr_111,2026-08-21T00:11:00+00:00,303.74,INR,dining,dev_usr_111,103.21.111.10,"132 MG Road, Chennai",Chennai,False,none,False
tx_1068,usr_113,2026-08-21T00:12:00+00:00,589.55,INR,digital_goods,dev_usr_113,103.21.113.10,"156 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1108,usr_120,2026-08-21T00:57:00+00:00,1465.44,INR,digital_goods,dev_usr_120,103.21.120.10,"240 MG Road, Mumbai",Mumbai,False,none,False
tx_1024,usr_105,2026-08-21T01:14:00+00:00,541.29,INR,groceries,dev_usr_105,103.21.105.10,"60 MG Road, Chennai",Chennai,False,none,False
tx_1092,usr_117,2026-08-21T01:32:00+00:00,422.58,INR,groceries,dev_usr_117,103.21.117.10,"204 MG Road, Chennai",Chennai,False,none,False
tx_1045,usr_108,2026-08-21T02:44:00+00:00,997.28,INR,dining,dev_usr_108,103.21.108.10,"96 MG Road, Mumbai",Mumbai,False,none,False
tx_1072,usr_113,2026-08-21T03:32:00+00:00,642.04,INR,electronics,dev_usr_113,103.21.113.10,"156 MG Road, Bengaluru",Bengaluru,False,none,False
tx_1053,usr_110,2026-08-21T05:02:00+00:00,1006.41,INR,electronics,dev_usr_110,103.21.110.10,"120 MG Road, Hyderabad",Hyderabad,False,none,False
tx_1055,usr_110,2026-08-21T05:22:00+00:00,1404.02,INR,groceries,dev_usr_110,103.21.110.10,"120 MG Road, Hyderabad",Hyderabad,False,none,False
tx_1040,usr_107,2026-08-21T06:55:00+00:00,529.04,INR,electronics,dev_usr_107,103.21.107.10,"84 MG Road, Bengaluru",Bengaluru,False,none,False
